3 404
148.335999 -62.991951 1363.97998
98.043999 -128.523956 1246.631958
98.552002 56.89603 1182.115967
152.399994 71.628029 1358.900024
-120.395996 56.89603 1182.115967
-171.195999 71.628029 1358.900024
-120.395996 -132.587952 1246.631958
-148.335999 -59.435951 1363.97998
98.043999 -136.143967 1235.963989
102.615997 -54.35598 1016
102.615997 53.340015 1016
98.043999 56.89603 1189.735962
-102.615997 53.340012 1001.268005
-120.395996 56.896027 1174.495972
-102.108002 -74.167984 1006.347961
-120.395996 -136.143951 1246.631958
48.259998 -25.907946 1455.927979
42.163998 -25.907955 1348.73999
42.163998 41.656044 1348.73999
48.259998 41.656055 1450.848022
-75.183998 41.656048 1362.455933
-66.547997 41.656055 1448.815918
-75.183998 -25.907949 1362.455933
-66.547997 -25.907948 1448.815918
148.843994 -18.287962 1358.900024
214.375992 -15.747983 1011.935974
214.375992 20.82802 1011.935974
152.399994 23.368044 1358.900024
149.352005 20.82802 1003.299988
117.348 23.368036 1264.919922
149.352005 -15.747984 1003.299988
117.348 -18.795958 1264.919922
-127.507996 -18.795965 1265.936035
-154.940002 -15.747992 1004.315979
-154.940002 20.82802 1004.315979
-127.507996 23.368036 1265.936035
-219.963989 20.82802 1010.919983
-170.688004 23.876047 1358.900024
-219.963989 -15.747983 1010.919983
-178.815994 -18.287962 1358.900024
95.503998 -76.199982 1016.507996
155.447998 -78.232002 820.927979
155.447998 79.248001 820.927979
95.503998 74.167999 1016.507996
-142.748001 79.248001 809.752014
-95.503998 81.280014 1005.839966
-142.748001 -78.232002 809.752014
-95.503998 -76.199982 1005.839966
143.763992 -43.688 821.94397
117.855995 -25.908033 458.216003
117.855995 26.41597 458.216003
147.828003 44.703995 811.276001
25.907999 26.41597 459.73999
2.032 44.703995 816.356018
25.907999 -25.908033 459.73999
2.032 -43.687996 832.104004
5.08 -43.688 811.276001
-30.987999 -25.908033 457.708008
-30.987999 26.41597 457.708008
5.08 44.703995 821.94397
-121.919998 26.41597 459.73999
-132.080002 44.703995 811.276001
-121.919998 -25.908033 459.73999
-139.192001 -43.688 811.276001
212.85199 -24.891987 1011.935974
228.091995 -18.796 781.304016
228.091995 11.176001 781.304016
212.85199 17.27202 1011.935974
181.863998 11.176 775.208008
148.335999 17.27202 1003.807983
181.863998 -18.796 775.208008
148.335999 -24.891987 1003.807983
-152.399994 -28.955986 1003.807983
-182.880005 -22.860003 773.68396
-182.880005 7.111997 773.68396
-152.399994 13.208017 1003.807983
-229.615997 7.111997 778.763977
-216.916 13.208018 1010.919983
-229.615997 -22.860006 778.763977
-216.916 -28.955986 1010.919983
125.475998 -18.28804 459.231995
121.411995 -14.732061 80.771973
121.411995 30.987936 80.771965
125.475998 34.035965 459.231995
39.116001 30.987936 80.263969
31.496002 34.035965 459.231995
39.116001 -14.732061 80.263977
31.496002 -18.28804 459.231995
-25.4 -18.796036 459.73999
-26.924 -15.240061 82.296021
-26.924 30.479933 82.296013
-25.4 34.035965 459.73999
-108.203995 30.479933 81.280022
-118.363998 34.035965 458.723999
-108.203995 -15.240061 81.280029
-118.363998 -18.796036 458.723999
55.879997 29.97193 -0.000007
55.879997 29.971937 80.771965
116.839996 29.971937 80.771965
147.319992 29.97193 -0.000007
55.879997 -209.296097 0.000014
147.319992 -209.296097 0.000014
116.839996 -61.468063 80.771973
55.879997 -61.468063 80.771973
-244.347992 17.779987 674.623962
-233.171997 18.288 775.716003
-178.307999 18.288 775.716003
-174.751999 17.779987 673.607971
-244.347992 -7.62001 674.623962
-174.244003 -7.62001 673.607971
-178.307999 -32.004009 775.716003
-233.171997 -32.004009 775.716003
172.21199 19.303989 671.575989
186.944 19.303999 777.747986
236.727997 19.811995 782.828003
241.807999 19.811985 667.511963
172.21199 -6.604012 672.59198
242.315994 -6.096013 668.02002
236.727997 -30.988005 782.828003
187.451996 -30.988005 778.255981
-91.440002 32.511932 1.015984
-91.440002 32.511936 81.788017
-31.496 32.511936 81.788017
-1.016 32.511932 1.015984
-91.440002 -207.77211 1.016005
-1.016 -207.77211 1.016005
-31.496 -59.436066 81.788025
