3 60
0.544149 -0.494938 0.795558
-0.194436 -0.976275 0.427849
-0.302562 -0.670461 0.795558
0.839268 -0.068253 0.681868
-0.868409 -0.600296 0.243894
-0.108126 -1.07458 -0.086901
-0.416538 -0.90411 -0.427849
0.868409 0.486606 -0.427849
0.302562 1.01141 -0.243894
0.32426 -0.7771 -0.681868
-0.32426 0.262351 1
0.638865 0.364572 0.795558
-0.7191 -0.438092 0.681868
0.416538 -0.021651 1
0.194436 -0.819283 0.681868
0.108126 -0.402842 1
-0.349712 -0.227319 1
0.349712 -0.996087 -0.243894
-0.544148 -0.932911 0.086901
-0.868409 0.600296 -0.243894
0.149309 -0.38946 -1
0.638865 -0.364572 -0.795558
0.544149 0.494938 -0.795558
-0.302562 0.670461 -0.795558
0.839268 0.068253 -0.681868
0.194436 0.819283 -0.681868
0.108126 0.402842 -1
-0.7191 0.438092 -0.681868
-0.149309 -0.7191 -0.795558
0.416538 0.021651 -1
-0.839268 -0.638865 -0.243894
-0.988577 0.116766 -0.427849
-1.0554 0.22923 0.086901
-0.544148 0.932911 -0.086901
-0.839268 0.638865 0.243894
-0.149309 0.720255 0.795558
0.149309 0.38946 1
-0.638865 0.548527 0.681868
-0.731143 0.080569 0.795558
0.731142 0.675536 0.427849
-0.108126 1.07458 0.086901
0.720255 0.805802 -0.086901
0.988577 -0.434898 -0.086901
-0.988577 -0.116766 0.427849
-1.0554 -0.227319 -0.086901
0.988577 0.434898 0.086901
1.0554 -0.024789 0.243894
0.720255 -0.805802 0.086901
0.32426 0.7771 0.681868
0.868409 -0.486606 0.427849
0.302562 -1.01141 0.243894
-0.416538 0.90411 0.427849
-0.349712 0.22923 -1
-0.32426 -0.262351 -1
-0.731143 -0.080569 -0.795558
-0.638865 -0.548527 -0.681868
-0.194436 0.976275 -0.427849
0.731142 -0.675536 -0.427849
0.349712 0.996087 0.243894
1.0554 0.024789 -0.243894
