3 288
-5.3471 14.9017 -54.36
4.64 20.457 -51.5566
5.0253 14.9017 -52.9944
-5.3471 20.457 -52.8715
3.5875 24.5237 -47.6285
-5.3471 24.5237 -48.8047
2.1497 26.0123 -42.2625
-5.3471 26.0123 -43.2494
0.7118 24.5237 -36.8965
-5.3471 24.5237 -37.6941
-0.3407 20.457 -32.9683
-5.3471 20.457 -33.6274
-0.726 14.9017 -31.5305
-5.3471 14.9017 -32.1389
-0.3407 9.3464 -32.9683
-5.3471 9.3464 -33.6274
0.7118 5.2797 -36.8965
-5.3471 5.2797 -37.6941
2.1497 3.7912 -42.2625
-5.3471 3.7912 -43.2494
3.5875 5.2797 -47.6284
-5.3471 5.2797 -48.8047
4.64 9.3464 -51.5566
-5.3471 9.3464 -52.8715
13.9465 20.457 -47.7018
14.6908 14.9017 -48.9909
11.9131 24.5237 -44.1799
9.1355 26.0123 -39.3688
6.3578 24.5237 -34.5578
4.3245 20.457 -31.0359
3.5802 14.9017 -29.7468
4.3245 9.3464 -31.0359
6.3578 5.2797 -34.5578
9.1355 3.7912 -39.3688
11.9131 5.2797 -44.1799
13.9465 9.3464 -47.7018
21.9382 20.457 -41.5695
22.9907 14.9017 -42.6221
19.0625 24.5237 -38.6939
15.1344 26.0123 -34.7657
11.2062 24.5237 -30.8376
8.3306 20.457 -27.9619
7.278 14.9017 -26.9094
8.3306 9.3464 -27.9619
11.2062 5.2797 -30.8376
15.1344 3.7912 -34.7657
19.0625 5.2797 -38.6939
21.9382 9.3464 -41.5695
28.0704 20.457 -33.5779
29.3595 14.9017 -34.3222
24.5485 24.5237 -31.5445
19.7374 26.0123 -28.7669
14.9264 24.5237 -25.9892
11.4045 20.457 -23.9559
10.1154 14.9017 -23.2116
11.4045 9.3464 -23.9559
14.9264 5.2797 -25.9892
19.7374 3.7912 -28.7669
24.5485 5.2797 -31.5445
28.0704 9.3464 -33.5779
31.9252 20.457 -24.2714
33.363 14.9017 -24.6567
27.9971 24.5237 -23.2189
22.6311 26.0123 -21.7811
17.2651 24.5237 -20.3432
13.3369 20.457 -19.2907
11.8991 14.9017 -18.9054
13.3369 9.3464 -19.2907
17.2651 5.2797 -20.3432
22.6311 3.7912 -21.781
27.9971 5.2797 -23.2189
31.9252 9.3464 -24.2714
33.2401 20.457 -14.2843
34.7286 14.9017 -14.2843
29.1733 24.5237 -14.2843
23.618 26.0123 -14.2843
18.0628 24.5237 -14.2843
13.996 20.457 -14.2843
12.5075 14.9017 -14.2843
13.996 9.3464 -14.2843
18.0628 5.2797 -14.2843
23.618 3.7912 -14.2843
